,,,,,,,,,Goals,,,,,Expected,,,,Launched,,,Passes,,,,Goal Kicks,,,Crosses,,,Sweeper,,,
103,Antonio Mirante\Antonio-Mirante,it ITA,GK,Roma,it Serie A,37-271,1983,10.8,16,2,1,0,0,12.7,0.26,-3.3,-0.31,62,116,53.4,284,61,34.2,33.1,65,29.2,30.1,84,2,2.4,12,1.11,15.9,Matches
104,Lorenzo Montipò\Lorenzo-Montipo,it ITA,GK,Benevento,it Serie A,25-044,1996,29.0,54,3,0,9,3,49.8,0.37,-1.2,-0.04,209,546,38.3,776,129,52.6,41.2,225,61.3,45.3,319,25,7.8,10,0.34,13.6,Matches
105,Jessy Moulin\Jessy-Moulin,fr FRA,GK,Saint-Étienne,fr Ligue 1,35-082,1986,29.0,42,4,3,6,2,38.1,0.34,-1.9,-0.06,140,370,37.8,679,146,35.3,36.6,202,64.4,49.5,220,13,5.9,9,0.31,13.5,Matches
106,Florian Müller\Florian-Muller,de GER,GK,Freiburg,de Bundesliga,23-143,1997,27.0,41,2,2,3,1,42.4,0.30,+2.4,+0.09,168,537,31.3,912,128,38.5,38.1,241,77.2,59.4,222,11,5.0,20,0.74,14.9,Matches
107,Juan Musso\Juan-Musso,ar ARG,GK,Udinese,it Serie A,26-334,1994,27.0,34,6,1,0,0,37.3,0.30,+3.3,+0.12,154,347,44.4,618,134,42.2,36.3,184,46.7,38.0,221,20,9.0,13,0.48,12.9,Matches
108,Paul Nardi\Paul-Nardi,fr FRA,GK,Lorient,fr Ligue 1,26-322,1994,18.0,37,3,0,3,0,26.1,0.27,-9.9,-0.55,103,285,36.1,362,93,48.3,39.8,146,75.3,56.9,149,6,4.0,13,0.72,15.0,Matches
109,Keylor Navas\Keylor-Navas,cr CRC,GK,Paris S-G,fr Ligue 1,34-111,1986,22.5,15,1,0,2,0,18.9,0.25,+3.9,+0.17,86,160,53.8,480,92,26.9,30.6,138,22.5,27.9,163,6,3.7,11,0.49,13.0,Matches
110,Neto\Neto,br BRA,GK,Barcelona,es La Liga,31-260,1989,6.0,6,2,0,1,0,6.6,0.26,+0.6,+0.10,17,35,48.6,150,30,18.7,27.3,41,17.1,24.4,52,2,3.8,4,0.67,15.7,Matches
111,Manuel Neuer\Manuel-Neuer,de GER,GK,Bayern Munich,de Bundesliga,35-009,1986,27.0,35,1,0,5,0,37.4,0.35,+2.4,+0.09,205,332,61.7,940,151,31.3,32.1,152,25.0,30.3,181,5,2.8,35,1.30,16.4,Matches
112,Jan Oblak\Jan-Oblak,si SVN,GK,Atlético Madrid,es La Liga,28-088,1993,29.0,19,1,0,4,3,23.0,0.25,+8.0,+0.28,205,469,43.7,525,86,59.0,44.4,235,67.7,50.1,267,15,5.6,15,0.54,15.8,Matches
113,Robin Olsen\Robin-Olsen,se SWE,GK,Everton,eng Premier League,31-087,1990,5.0,8,1,0,0,0,7.7,0.35,-0.3,-0.07,37,75,49.3,107,10,51.4,42.0,32,62.5,48.6,41,2,4.9,1,0.20,11.0,Matches
114,Jonas Omlin\Jonas-Omlin,ch SUI,GK,Montpellier,fr Ligue 1,27-085,1994,25.7,42,11,0,4,2,42.1,0.29,+3.1,+0.12,189,410,46.1,612,138,44.8,38.5,203,67.0,51.8,216,18,8.3,9,0.36,13.3,Matches
115,Stefan Ortega\Stefan-Ortega,de GER,GK,Arminia,de Bundesliga,28-150,1992,27.0,46,4,0,6,1,44.7,0.29,-0.3,-0.01,402,824,48.8,1380,98,51.2,43.3,191,61.8,49.3,268,18,6.7,25,0.93,14.8,Matches
116,David Ospina\David-Ospina,co COL,GK,Napoli,it Serie A,32-217,1988,15.0,12,3,0,0,0,12.5,0.28,+0.5,+0.03,68,144,47.2,449,48,29.8,31.4,52,19.2,24.9,107,12,11.2,12,0.80,15.6,Matches
117,Alexandre Oukidja\Alexandre-Oukidja,dz ALG,GK,Metz,fr Ligue 1,32-260,1988,27.0,27,5,0,3,1,27.6,0.26,+2.6,+0.10,217,506,42.9,595,148,55.3,44.0,238,74.4,54.7,268,34,12.7,28,1.04,16.2,Matches
118,Fernando Pacheco\Fernando-Pacheco,es ESP,GK,Alavés,es La Liga,28-322,1992,29.0,47,3,0,5,0,41.1,0.36,-2.9,-0.10,254,485,52.4,567,77,60.5,45.7,226,62.8,47.3,247,24,9.7,18,0.64,14.5,Matches
119,Alberto Paleari\Alberto-Paleari,it ITA,GK,Genoa,it Serie A,28-219,1992,1.3,3,0,0,0,0,2.6,0.36,-0.4,-0.30,7,25,28.0,34,5,64.7,45.3,10,30.0,30.6,8,0,0.0,0,0.00,11.7,Matches
120,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,eng Premier League,33-049,1988,29.0,38,6,1,6,3,32.5,0.27,-2.5,-0.09,176,380,46.3,426,89,56.8,41.9,206,67.0,45.6,286,19,6.6,5,0.17,11.8,Matches
121,Jiří Pavlenka\Jiri-Pavlenka,cz CZE,GK,Werder Bremen,de Bundesliga,28-356,1992,27.0,39,2,0,4,2,31.9,0.26,-4.1,-0.16,196,417,47.0,664,125,44.3,38.1,226,54.4,43.5,302,16,5.3,17,0.65,13.9,Matches
122,Bailey Peacock-Farrell\Bailey-Peacock-Farrell,nir NIR,GK,Burnley,eng Premier League,24-158,1996,1.0,5,0,0,0,0,4.4,0.62,-0.6,-0.65,11,28,39.3,23,1,87.0,55.5,9,88.9,64.9,9,0,0.0,0,0.00,8.5,Matches
123,Gianluca Pegolo\Gianluca-Pegolo,it ITA,GK,Sassuolo,it Serie A,40-011,1981,1.0,0,0,0,0,0,0.0,0.04,0.0,+0.04,0,1,0.0,13,2,7.7,18.5,8,0.0,13.6,4,0,0.0,0,0.00,14.5,Matches
124,Yohann Pelé\Yohann-Pele,fr FRA,GK,Marseille,fr Ligue 1,38-152,1982,1.0,2,0,0,0,0,2.4,0.47,+0.4,+0.35,0,0,,22,7,0.0,20.5,3,0.0,14.7,8,1,12.5,1,1.00,13.0,Matches
125,Philipp Pentke\Philipp-Pentke,de GER,GK,Hoffenheim,de Bundesliga,35-339,1985,1.0,1,0,0,0,0,0.4,0.21,-0.6,-0.57,2,6,33.3,25,5,20.0,29.8,4,25.0,31.5,2,0,0.0,1,1.00,20.3,Matches
126,Juan Pérez\Juan-Perez,es ESP,GK,Osasuna,es La Liga,24-264,1996,1.0,0,0,0,0,0,0.1,0.03,+0.1,+0.10,4,23,17.4,13,1,69.2,51.0,14,100.0,70.6,18,0,0.0,1,1.00,18.8,Matches
127,Mattia Perin\Mattia-Perin,it ITA,GK,Genoa,it Serie A,28-146,1992,25.0,31,5,0,6,1,32.7,0.26,+2.7,+0.11,186,507,36.7,727,105,55.4,41.2,221,47.1,38.4,283,14,4.9,7,0.28,12.3,Matches
128,Pavao Pervan\Pavao-Pervan,at AUT,GK,Wolfsburg,de Bundesliga,33-143,1987,1.0,1,0,0,1,0,2.7,0.39,+1.7,+1.72,8,19,42.1,23,1,56.5,43.2,9,66.7,53.4,13,1,7.7,0,0.00,11.3,Matches
129,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,eng Premier League,27-029,1994,22.5,29,2,1,5,1,27.3,0.27,-0.7,-0.03,202,479,42.2,688,98,54.1,44.0,156,68.6,55.3,202,18,8.9,11,0.49,14.0,Matches
130,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,eng Premier League,28-351,1992,29.0,35,3,0,6,1,37.1,0.27,+6.1,+0.22,262,661,39.6,637,113,74.7,52.9,214,86.4,62.1,270,33,12.2,36,1.29,16.1,Matches
131,Ivan Provedel\Ivan-Provedel,it ITA,GK,Spezia,it Serie A,27-019,1994,22.0,39,5,1,2,0,35.0,0.35,-4.0,-0.18,225,478,47.1,949,99,43.9,38.3,119,51.3,44.2,152,12,7.9,22,1.00,16.5,Matches
132,Anthony Racioppi\Anthony-Racioppi,ch SUI,GK,Dijon,fr Ligue 1,22-095,1998,21.0,33,3,0,5,1,34.9,0.35,+2.9,+0.14,113,324,34.9,478,99,42.5,37.1,178,68.0,49.7,199,13,6.5,10,0.48,14.4,Matches
133,Rafael\Rafael,br BRA,GK,Spezia,it Serie A,39-033,1982,1.3,3,0,0,0,0,1.6,0.18,-1.4,-1.04,11,25,44.0,46,7,50.0,37.8,11,18.2,26.5,23,1,4.3,0,0.00,8.3,Matches
134,Predrag Rajković\Predrag-Rajkovic,rs SRB,GK,Reims,fr Ligue 1,25-156,1995,29.5,37,3,0,5,1,31.5,0.25,-2.5,-0.09,190,584,32.5,848,122,47.8,41.9,268,66.8,51.7,299,16,5.4,16,0.56,13.6,Matches
135,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Sheffield Utd,eng Premier League,22-326,1998,30.0,52,3,0,8,3,48.9,0.29,-0.1,0.00,225,686,32.8,662,83,73.6,54.4,214,93.0,70.3,285,28,9.8,16,0.53,15.2,Matches
136,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,eng Premier League,33-328,1987,2.0,2,0,0,2,0,1.4,0.29,-0.6,-0.28,9,25,36.0,30,2,66.7,47.8,11,45.5,36.7,16,0,0.0,1,0.50,13.3,Matches
137,Federico Ravaglia\Federico-Ravaglia,it ITA,GK,Bologna,it Serie A,21-145,1999,2.0,6,0,0,0,1,4.3,0.48,-0.7,-0.33,2,11,18.2,61,4,16.4,26.4,12,8.3,14.5,8,0,0.0,3,1.50,18.4,Matches
138,Pepe Reina\Pepe-Reina,es ESP,GK,Lazio,it Serie A,38-217,1982,22.0,26,5,0,5,1,26.6,0.29,+1.6,+0.07,141,305,46.2,758,86,36.1,34.2,103,30.1,29.3,164,7,4.3,9,0.41,15.6,Matches
139,Álex Remiro\Alex-Remiro,es ESP,GK,Real Sociedad,es La Liga,26-012,1995,28.0,28,2,0,2,0,23.1,0.30,-4.9,-0.17,172,393,43.8,705,88,42.8,38.3,140,65.0,52.3,196,14,7.1,20,0.71,15.8,Matches
140,Baptiste Reynet\Baptiste-Reynet,fr FRA,GK,Nîmes,fr Ligue 1,30-159,1990,31.0,58,6,1,4,0,49.5,0.30,-6.5,-0.22,243,662,36.7,1018,107,48.3,41.7,242,70.2,51.8,302,16,5.3,20,0.67,14.5,Matches
141,Sergio Rico\Sergio-Rico,es ESP,GK,Paris S-G,fr Ligue 1,27-216,1993,7.5,6,0,0,0,1,7.3,0.26,+2.3,+0.31,9,21,42.9,135,35,11.1,24.1,49,12.2,25.0,45,2,4.4,5,0.67,14.1,Matches
142,Roberto\Roberto,es ESP,GK,Valladolid,es La Liga,35-054,1986,10.0,13,2,0,1,0,12.1,0.30,-0.9,-0.09,69,232,29.7,227,31,69.2,52.9,86,87.2,67.1,101,9,8.9,5,0.50,13.8,Matches
143,Joel Robles\Joel-Robles,es ESP,GK,Betis,es La Liga,30-292,1990,18.0,25,4,1,5,2,21.5,0.31,-1.5,-0.08,99,301,32.9,449,80,52.6,43.0,116,56.0,45.3,145,10,6.9,14,0.78,16.3,Matches
144,Marek Rodák\Marek-Rodak,sk SVK,GK,Fulham,eng Premier League,24-113,1996,1.0,3,0,0,1,0,2.5,0.61,-0.5,-0.55,6,12,50.0,22,3,40.9,35.8,4,75.0,56.0,9,0,0.0,1,1.00,11.8,Matches
145,Rubén\Ruben,es ESP,GKMF,Osasuna,es La Liga,36-287,1984,2.1,5,0,0,0,0,4.9,0.55,-0.1,-0.04,33,54,61.1,46,2,84.8,55.7,15,100.0,65.7,19,1,5.3,3,1.44,14.6,Matches
146,John Ruddy\John-Ruddy,eng ENG,GK,Wolves,eng Premier League,34-163,1986,0.0,0,0,0,0,0,0.0,,0.0,0.00,0,2,0.0,1,0,100.0,62.0,2,50.0,56.5,1,0,0.0,0,0.00,,Matches
147,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,eng Premier League,28-362,1992,11.0,19,4,0,3,1,14.8,0.37,-3.2,-0.29,57,141,40.4,341,56,33.4,32.5,58,46.6,40.2,103,7,6.8,6,0.55,14.4,Matches
148,Mathew Ryan\Mathew-Ryan,au AUS,GK,Arsenal,eng Premier League,28-362,1992,1.0,1,0,0,0,0,2.8,0.35,+1.8,+1.76,2,2,100.0,14,5,7.1,28.4,3,33.3,38.0,4,0,0.0,0,0.00,15.3,Matches
149,Frederik Rønnow\Frederik-Ronnow,dk DEN,GK,Schalke 04,de Bundesliga,28-244,1992,10.5,24,4,0,5,2,22.5,0.31,+0.5,+0.05,51,143,35.7,289,64,33.6,32.7,94,48.9,39.7,71,3,4.2,6,0.57,14.2,Matches
150,Romain Salin\Romain-Salin,fr FRA,GK,Rennes,fr Ligue 1,36-250,1984,15.0,14,0,0,4,0,15.2,0.28,+1.2,+0.08,99,227,43.6,421,76,35.9,34.0,123,61.8,47.5,113,9,8.0,29,1.93,18.0,Matches
151,Robert Sánchez\Robert-Sanchez,es ESP,GK,Brighton,eng Premier League,23-138,1997,19.0,19,2,0,6,1,18.9,0.32,+2.9,+0.16,124,325,38.2,579,81,44.2,39.6,118,58.5,46.7,130,7,5.4,11,0.61,14.9,Matches
152,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,eng Premier League,34-151,1986,30.0,34,2,0,6,1,37.4,0.33,+4.4,+0.15,190,443,42.9,828,132,42.3,38.1,179,52.0,43.4,249,21,8.4,11,0.37,13.0,Matches
153,Alexander Schwolow\Alexander-Schwolow,de GER,GK,Hertha BSC,de Bundesliga,28-307,1992,19.0,33,5,1,3,0,28.0,0.35,-4.0,-0.22,124,244,50.8,486,75,33.7,34.0,143,55.9,45.7,145,10,6.9,9,0.50,13.4,Matches
154,Matz Sels\Matz-Sels,be BEL,GK,Strasbourg,fr Ligue 1,29-038,1992,1.0,2,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
155,Luigi Sepe\Luigi-Sepe,it ITA,GK,Parma,it Serie A,29-332,1991,29.0,56,1,0,9,3,44.8,0.33,-8.2,-0.28,266,493,54.0,942,142,43.5,37.7,214,38.8,35.7,327,21,6.4,11,0.38,13.5,Matches
156,Rui Silva\Rui-Silva,pt POR,GK,Granada,es La Liga,27-057,1994,28.0,47,3,2,3,1,44.6,0.35,-1.4,-0.05,238,646,36.8,701,61,66.0,49.1,227,80.6,58.3,275,13,4.7,21,0.75,15.4,Matches
157,Marco Silvestri\Marco-Silvestri,it ITA,GK,Hellas Verona,it Serie A,30-034,1991,29.0,34,4,1,7,2,32.0,0.26,0.0,0.00,184,648,28.4,628,65,69.1,47.1,236,90.7,58.8,248,6,2.4,13,0.45,13.4,Matches
158,Unai Simón\Unai-Simon,es ESP,GK,Athletic Club,es La Liga,23-298,1997,28.0,32,5,1,5,1,28.8,0.30,-2.2,-0.08,192,435,44.1,637,148,44.4,40.0,187,81.3,60.6,261,17,6.5,16,0.57,14.2,Matches
159,Tobias Sippel\Tobias-Sippel,de GER,GK,M'Gladbach,de Bundesliga,33-014,1988,1.0,1,0,0,0,0,1.2,0.59,+0.2,+0.18,5,9,55.6,20,2,40.0,35.5,5,20.0,20.2,6,1,16.7,2,2.00,24.0,Matches
160,Salvatore Sirigu\Salvatore-Sirigu,it ITA,GK,Torino,it Serie A,34-083,1987,26.0,48,6,1,5,1,35.3,0.33,-11.7,-0.45,146,355,41.1,609,88,41.4,35.2,212,48.6,37.9,245,15,6.1,11,0.42,12.8,Matches
161,Łukasz Skorupski\Lukasz-Skorupski,pl POL,GK,Bologna,it Serie A,29-335,1991,21.0,30,3,1,6,1,32.1,0.27,+3.1,+0.15,86,239,36.0,547,122,34.9,33.9,164,29.3,25.4,194,21,10.8,9,0.43,12.4,Matches
162,Yann Sommer\Yann-Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,32-109,1988,26.0,40,5,0,4,0,34.9,0.31,-5.1,-0.20,158,340,46.5,891,102,32.1,32.1,187,28.9,30.2,213,12,5.6,16,0.62,13.4,Matches
163,David Soria\David-Soria,es ESP,GK,Getafe,es La Liga,28-001,1993,20.0,21,4,0,3,1,23.0,0.33,+3.0,+0.15,208,553,37.6,501,7,87.0,58.5,141,83.0,56.6,152,18,11.8,26,1.30,16.2,Matches
164,Marco Sportiello\Marco-Sportiello,it ITA,GK,Atalanta,it Serie A,28-330,1992,12.3,18,0,0,2,0,13.9,0.31,-4.1,-0.33,47,96,49.0,287,61,23.0,29.6,47,63.8,48.8,77,6,7.8,13,1.06,17.2,Matches
165,Zack Steffen\Zack-Steffen,us USA,GK,Manchester City,eng Premier League,26-003,1995,1.0,1,0,0,0,0,0.6,0.32,-0.4,-0.37,2,6,33.3,20,4,25.0,31.1,8,12.5,20.5,10,0,0.0,0,0.00,7.0,Matches
166,Thomas Strakosha\Thomas-Strakosha,al ALB,GK,Lazio,it Serie A,26-017,1995,6.0,12,1,0,1,0,10.6,0.36,-1.4,-0.23,41,86,47.7,220,35,36.8,32.3,32,15.6,26.0,61,4,6.6,1,0.17,11.7,Matches
167,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,Juventus,it Serie A,30-352,1990,23.0,23,2,0,2,1,22.3,0.26,+0.3,+0.01,80,145,55.2,637,104,19.2,28.4,149,15.4,24.4,198,15,7.6,20,0.87,14.6,Matches
168,Ciprian Tătărușanu\Ciprian-Tatarusanu,ro ROU,GK,Milan,it Serie A,35-055,1986,1.0,3,1,0,2,0,2.9,0.35,-0.1,-0.05,2,5,40.0,23,7,13.0,21.8,4,50.0,30.8,3,1,33.3,0,0.00,8.1,Matches
169,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,Barcelona,es La Liga,28-340,1992,22.0,18,2,0,3,1,20.3,0.27,+3.3,+0.15,107,180,59.4,638,110,22.4,28.9,109,33.9,33.4,131,17,13.0,17,0.77,16.9,Matches
170,Pietro Terracciano\Pietro-Terracciano,it ITA,GK,Fiorentina,it Serie A,31-028,1990,0.5,2,0,0,1,0,1.5,0.73,-0.5,-1.02,8,15,53.3,12,2,83.3,51.3,6,83.3,51.2,5,0,0.0,0,0.00,7.7,Matches
171,Kevin Trapp\Kevin-Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,30-271,1990,27.0,37,4,1,3,1,34.6,0.29,-1.4,-0.05,222,554,40.1,898,137,48.8,38.9,213,54.5,45.2,239,23,9.6,19,0.70,14.8,Matches
172,Tomáš Vaclík\Tomas-Vaclik,cz CZE,GK,Sevilla,es La Liga,32-007,1989,4.0,5,0,0,0,0,3.3,0.28,-1.7,-0.41,16,35,45.7,103,17,29.1,30.4,15,33.3,29.9,32,1,3.1,3,0.75,14.8,Matches
173,Koke Vegas\Koke-Vegas,es ESP,GK,Levante,es La Liga,25-190,1995,1.0,2,0,0,0,0,2.6,0.64,+0.6,+0.56,2,11,18.2,18,4,44.4,37.7,11,27.3,30.5,7,0,0.0,1,1.00,18.8,Matches
174,Iván Villar\Ivan-Villar,es ESP,GK,Celta Vigo,es La Liga,23-270,1997,10.8,17,2,0,0,1,14.4,0.37,-0.6,-0.06,45,146,30.8,234,46,42.3,37.2,82,57.3,46.4,99,11,11.1,9,0.92,15.5,Matches
175,João Virgínia\Joao-Virginia,pt POR,GK,Everton,eng Premier League,21-177,1999,0.5,0,0,0,0,0,0.2,0.07,+0.2,+0.37,3,11,27.3,13,3,61.5,51.5,4,75.0,54.5,2,0,0.0,0,0.00,21.0,Matches
176,Rubén Yáñez\Ruben-Yanez,es ESP,GK,Getafe,es La Liga,27-175,1993,9.0,12,1,0,0,0,11.1,0.36,-0.9,-0.10,78,181,43.1,187,25,71.1,48.7,58,82.8,60.0,67,5,7.5,5,0.56,14.6,Matches
177,Yoel\Yoel,es ESP,GK,Eibar,es La Liga,32-220,1988,1.3,1,0,0,0,0,0.6,0.58,-0.4,-0.32,13,23,56.5,35,14,54.3,42.3,4,100.0,69.0,1,0,0.0,3,2.25,17.9,Matches
178,Robin Zentner\Robin-Zentner,de GER,GK,Mainz 05,de Bundesliga,26-159,1994,26.0,41,4,1,4,1,35.2,0.28,-4.8,-0.18,130,401,32.4,717,174,40.9,38.2,197,54.8,46.8,231,24,10.4,17,0.65,14.1,Matches
179,Ron-Robert Zieler\Ron-Robert-Zieler,de GER,GK,Köln,de Bundesliga,32-052,1989,0.6,1,1,0,0,0,0.7,0.01,-0.3,-0.46,6,11,54.5,17,4,35.3,35.0,6,83.3,49.7,10,0,0.0,0,0.00,11.8,Matches
180,Jeroen Zoet\Jeroen-Zoet,nl NED,GK,Spezia,it Serie A,30-089,1991,5.7,11,2,0,2,0,10.6,0.35,-0.4,-0.07,50,103,48.5,240,38,39.2,36.9,26,34.6,35.2,43,4,9.3,6,1.05,15.2,Matches
